task,model,target,validation_metric,validation_score,params,feature_group
classification,random_forest,high_vol_21d,roc_auc,0.9370469674556212,"{'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",price
classification,random_forest,high_vol_21d,roc_auc,0.9422984467455622,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",price
classification,random_forest,high_vol_21d,roc_auc,0.9476886094674556,"{'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 300}",price
classification,random_forest,high_vol_21d,roc_auc,0.9062222633136094,"{'max_features': 0.7, 'min_samples_leaf': 2, 'n_estimators': 300}",price
classification,random_forest,high_vol_21d,roc_auc,0.9075906065088758,"{'max_features': 0.7, 'min_samples_leaf': 5, 'n_estimators': 300}",price
classification,random_forest,high_vol_21d,roc_auc,0.9148576183431951,"{'max_features': 0.7, 'min_samples_leaf': 10, 'n_estimators': 300}",price
classification,random_forest,high_vol_21d,roc_auc,0.884689349112426,"{'max_features': 1.0, 'min_samples_leaf': 2, 'n_estimators': 300}",price
classification,random_forest,high_vol_21d,roc_auc,0.8985761834319526,"{'max_features': 1.0, 'min_samples_leaf': 5, 'n_estimators': 300}",price
classification,random_forest,high_vol_21d,roc_auc,0.9031897189349113,"{'max_features': 1.0, 'min_samples_leaf': 10, 'n_estimators': 300}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9217779215976332,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 100}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9372272559171597,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 200}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9268028846153846,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.933852625739645,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9328448594674557,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9421597633136095,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.931920303254438,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9303809171597633,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9435281065088758,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9446930473372781,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9333672337278106,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",price
classification,gradient_boosting,high_vol_21d,roc_auc,0.9269693047337279,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9382627588757395,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9286242603550297,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9381009615384615,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9300943047337278,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9378420857988166,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9284948224852072,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9357803254437871,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9294378698224852,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9368528106508877,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9318324704142013,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9332008136094674,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9333579881656805,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9376802884615386,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9264191937869822,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9399130917159765,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9295580621301776,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9389330621301775,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9315735946745561,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9353550295857989,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9249907544378698,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9300665680473372,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9149870562130176,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 31}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9281619822485206,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 15}",price
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9174926035502958,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 31}",price
regression,ridge,future_vol_21d,rmse,0.008249942831922005,{'alpha': 0.1},price_climatebert
