evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,classification,high_vol_21d,finbert,logistic,728,,,,,0.3036649214659686,0.3333333333333333,0.27884615384615385,0.2923486174936395,0.47134800295857987,404.0,116.0,150.0,58.0,0.3561643835616438
news_weeks,classification,high_vol_21d,finbert,logistic,591,,,,,0.31521739130434784,0.3333333333333333,0.29896907216494845,0.33959207842686245,0.5049468955309148,281.0,116.0,136.0,58.0,0.35
all_weeks,classification,high_vol_21d,finbert,random_forest,728,,,,,0.01834862385321101,0.2,0.009615384615384616,0.23712143356695833,0.41621671597633136,512.0,8.0,206.0,2.0,0.136986301369863
news_weeks,classification,high_vol_21d,finbert,random_forest,591,,,,,0.0196078431372549,0.2,0.010309278350515464,0.3229023060863253,0.4999740320444571,389.0,8.0,192.0,2.0,0.3
all_weeks,classification,high_vol_21d,full,gradient_boosting,728,,,,,0.7251732101616628,0.6977777777777778,0.7548076923076923,0.7033783205514325,0.8729336168639054,452.0,68.0,51.0,157.0,0.726027397260274
news_weeks,classification,high_vol_21d,full,gradient_boosting,591,,,,,0.7352941176470589,0.7009345794392523,0.7731958762886598,0.7217771765410848,0.8683035134643848,333.0,64.0,44.0,150.0,0.75
all_weeks,classification,high_vol_21d,full,hist_gradient_boosting,728,,,,,0.7619047619047619,0.7958115183246073,0.7307692307692307,0.7417102843081046,0.8902644230769231,481.0,39.0,56.0,152.0,0.7808219178082192
news_weeks,classification,high_vol_21d,full,hist_gradient_boosting,591,,,,,0.7754010695187166,0.8055555555555556,0.7474226804123711,0.7620307979629474,0.8908177309200447,362.0,35.0,49.0,145.0,0.7666666666666667
all_weeks,classification,high_vol_21d,full,logistic,728,,,,,0.7370892018779343,0.7201834862385321,0.7548076923076923,0.7062672593651561,0.8717640532544378,459.0,61.0,51.0,157.0,0.821917808219178
news_weeks,classification,high_vol_21d,full,logistic,591,,,,,0.7626262626262627,0.7475247524752475,0.7783505154639175,0.7270173350614136,0.8765353553714715,346.0,51.0,43.0,151.0,0.8333333333333334
all_weeks,classification,high_vol_21d,full,random_forest,728,,,,,0.7644230769230769,0.7644230769230769,0.7644230769230769,0.7447571618624658,0.8976608727810651,471.0,49.0,49.0,159.0,0.7945205479452054
news_weeks,classification,high_vol_21d,full,random_forest,591,,,,,0.7835051546391752,0.7835051546391752,0.7835051546391752,0.7725383125648512,0.8999974032044457,355.0,42.0,42.0,152.0,0.7833333333333333
all_weeks,classification,high_vol_21d,keyword,gradient_boosting,728,,,,,0.21481481481481482,0.46774193548387094,0.13942307692307693,0.40699305843009803,0.6388406065088755,487.0,33.0,179.0,29.0,0.4383561643835616
news_weeks,classification,high_vol_21d,keyword,gradient_boosting,591,,,,,0.22745098039215686,0.47540983606557374,0.14948453608247422,0.4433016449735066,0.6476537952167027,365.0,32.0,165.0,29.0,0.48333333333333334
all_weeks,classification,high_vol_21d,keyword,hist_gradient_boosting,728,,,,,0.1411764705882353,0.3829787234042553,0.08653846153846154,0.3442654630968416,0.5710706360946745,491.0,29.0,190.0,18.0,0.410958904109589
news_weeks,classification,high_vol_21d,keyword,hist_gradient_boosting,591,,,,,0.1506276150627615,0.4,0.09278350515463918,0.403631001888038,0.617414110987042,370.0,27.0,176.0,18.0,0.38333333333333336
all_weeks,classification,high_vol_21d,keyword,logistic,728,,,,,0.53276955602537,0.47547169811320755,0.6057692307692307,0.5342890799496546,0.7142751479289939,381.0,139.0,82.0,126.0,0.6301369863013698
news_weeks,classification,high_vol_21d,keyword,logistic,591,,,,,0.5502183406113537,0.4772727272727273,0.6494845360824743,0.5675506537723972,0.7184294580487678,259.0,138.0,68.0,126.0,0.7
all_weeks,classification,high_vol_21d,keyword,random_forest,728,,,,,0.145748987854251,0.46153846153846156,0.08653846153846154,0.34388727597745194,0.5879900147928994,499.0,21.0,190.0,18.0,0.5205479452054794
news_weeks,classification,high_vol_21d,keyword,random_forest,591,,,,,0.15584415584415584,0.4864864864864865,0.09278350515463918,0.47401099126590235,0.6913578643953361,378.0,19.0,176.0,18.0,0.5333333333333333
all_weeks,classification,high_vol_21d,price,gradient_boosting,728,,,,,0.789838337182448,0.76,0.8221153846153846,0.8412684015806885,0.9095460428994083,466.0,54.0,37.0,171.0,0.9863013698630136
news_weeks,classification,high_vol_21d,price,gradient_boosting,591,,,,,0.803921568627451,0.7663551401869159,0.845360824742268,0.8628009596224611,0.9140590511309046,347.0,50.0,30.0,164.0,0.9833333333333333
all_weeks,classification,high_vol_21d,price,hist_gradient_boosting,728,,,,,0.7954545454545454,0.7543103448275862,0.8413461538461539,0.7892071296035639,0.9001294378698226,463.0,57.0,33.0,175.0,0.8493150684931506
news_weeks,classification,high_vol_21d,price,hist_gradient_boosting,591,,,,,0.8106796116504854,0.7660550458715596,0.8608247422680413,0.8087326372297712,0.9022825832922173,346.0,51.0,27.0,167.0,0.8666666666666667
all_weeks,classification,high_vol_21d,price,logistic,728,,,,,0.777292576419214,0.712,0.8557692307692307,0.8092325469380699,0.9059448964497042,448.0,72.0,30.0,178.0,0.863013698630137
news_weeks,classification,high_vol_21d,price,logistic,591,,,,,0.8009367681498829,0.7339055793991416,0.8814432989690721,0.8317654008462189,0.9142148588641617,335.0,62.0,23.0,171.0,0.8666666666666667
all_weeks,classification,high_vol_21d,price,random_forest,728,,,,,0.7903930131004366,0.724,0.8701923076923077,0.8205220173219404,0.9071375739644969,451.0,69.0,27.0,181.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price,random_forest,591,,,,,0.8093023255813954,0.7372881355932204,0.8969072164948454,0.8383931222748476,0.9108390246435898,335.0,62.0,20.0,174.0,0.9166666666666666
all_weeks,classification,high_vol_21d,price_all_news,gradient_boosting,728,,,,,0.7251732101616628,0.6977777777777778,0.7548076923076923,0.7033783205514325,0.8729336168639054,452.0,68.0,51.0,157.0,0.726027397260274
news_weeks,classification,high_vol_21d,price_all_news,gradient_boosting,591,,,,,0.7352941176470589,0.7009345794392523,0.7731958762886598,0.7217771765410848,0.8683035134643848,333.0,64.0,44.0,150.0,0.75
all_weeks,classification,high_vol_21d,price_all_news,hist_gradient_boosting,728,,,,,0.7619047619047619,0.7958115183246073,0.7307692307692307,0.7417102843081046,0.8902644230769231,481.0,39.0,56.0,152.0,0.7808219178082192
news_weeks,classification,high_vol_21d,price_all_news,hist_gradient_boosting,591,,,,,0.7754010695187166,0.8055555555555556,0.7474226804123711,0.7620307979629474,0.8908177309200447,362.0,35.0,49.0,145.0,0.7666666666666667
all_weeks,classification,high_vol_21d,price_all_news,logistic,728,,,,,0.7370892018779343,0.7201834862385321,0.7548076923076923,0.7062672593651561,0.8717640532544378,459.0,61.0,51.0,157.0,0.821917808219178
news_weeks,classification,high_vol_21d,price_all_news,logistic,591,,,,,0.7626262626262627,0.7475247524752475,0.7783505154639175,0.7270173350614136,0.8765353553714715,346.0,51.0,43.0,151.0,0.8333333333333334
all_weeks,classification,high_vol_21d,price_all_news,random_forest,728,,,,,0.7644230769230769,0.7644230769230769,0.7644230769230769,0.7447571618624658,0.8976608727810651,471.0,49.0,49.0,159.0,0.7945205479452054
news_weeks,classification,high_vol_21d,price_all_news,random_forest,591,,,,,0.7835051546391752,0.7835051546391752,0.7835051546391752,0.7725383125648512,0.8999974032044457,355.0,42.0,42.0,152.0,0.7833333333333333
all_weeks,classification,high_vol_21d,price_climatebert,gradient_boosting,728,,,,,0.7862068965517242,0.7533039647577092,0.8221153846153846,0.8321774922007247,0.9022420488165681,464.0,56.0,37.0,171.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price_climatebert,gradient_boosting,591,,,,,0.8019559902200489,0.7627906976744186,0.845360824742268,0.855678924357412,0.9045028434911319,346.0,51.0,30.0,164.0,0.9666666666666667
all_weeks,classification,high_vol_21d,price_climatebert,hist_gradient_boosting,728,,,,,0.780952380952381,0.7735849056603774,0.7884615384615384,0.7917164355960498,0.9000739644970414,472.0,48.0,44.0,164.0,0.863013698630137
news_weeks,classification,high_vol_21d,price_climatebert,hist_gradient_boosting,591,,,,,0.7989821882951654,0.7889447236180904,0.8092783505154639,0.8189805993933552,0.9043730037134177,355.0,42.0,37.0,157.0,0.9
all_weeks,classification,high_vol_21d,price_climatebert,logistic,728,,,,,0.7248322147651006,0.6778242677824268,0.7788461538461539,0.6999372867648713,0.8748520710059171,443.0,77.0,46.0,162.0,0.8493150684931506
news_weeks,classification,high_vol_21d,price_climatebert,logistic,591,,,,,0.7482014388489209,0.6995515695067265,0.8041237113402062,0.7173101352994798,0.8758601885273573,330.0,67.0,38.0,156.0,0.8166666666666667
all_weeks,classification,high_vol_21d,price_climatebert,random_forest,728,,,,,0.7911111111111111,0.7355371900826446,0.8557692307692307,0.7678005239661829,0.8967455621301775,456.0,64.0,30.0,178.0,0.7945205479452054
news_weeks,classification,high_vol_21d,price_climatebert,random_forest,591,,,,,0.8123515439429929,0.7533039647577092,0.8814432989690721,0.7959559408100974,0.89994546729336,341.0,56.0,23.0,171.0,0.8666666666666667
all_weeks,classification,high_vol_21d,price_finbert,gradient_boosting,728,,,,,0.7867298578199052,0.7757009345794392,0.7980769230769231,0.7703678561228184,0.8964127218934911,472.0,48.0,42.0,166.0,0.7945205479452054
news_weeks,classification,high_vol_21d,price_finbert,gradient_boosting,591,,,,,0.803030303030303,0.7871287128712872,0.8195876288659794,0.795726349806971,0.8968487885948738,354.0,43.0,35.0,159.0,0.85
all_weeks,classification,high_vol_21d,price_finbert,hist_gradient_boosting,728,,,,,0.7710843373493976,0.7729468599033816,0.7692307692307693,0.7663390184889268,0.8999630177514792,473.0,47.0,48.0,160.0,0.7945205479452054
news_weeks,classification,high_vol_21d,price_finbert,hist_gradient_boosting,591,,,,,0.7866323907455013,0.7846153846153846,0.788659793814433,0.7898518663816407,0.9008543457373602,355.0,42.0,41.0,153.0,0.8333333333333334
all_weeks,classification,high_vol_21d,price_finbert,logistic,728,,,,,0.6743295019157088,0.5605095541401274,0.8461538461538461,0.7452531108954882,0.8595321745562128,382.0,138.0,32.0,176.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price_finbert,logistic,591,,,,,0.6910569105691057,0.5704697986577181,0.8762886597938144,0.766624496674577,0.8570334207587836,269.0,128.0,24.0,170.0,0.95
all_weeks,classification,high_vol_21d,price_finbert,random_forest,728,,,,,0.7884187082405345,0.7344398340248963,0.8509615384615384,0.7555662432546116,0.89635724852071,456.0,64.0,31.0,177.0,0.7671232876712328
news_weeks,classification,high_vol_21d,price_finbert,random_forest,591,,,,,0.8095238095238095,0.7522123893805309,0.8762886597938144,0.7873963857086207,0.900607650159703,341.0,56.0,24.0,170.0,0.8
all_weeks,classification,high_vol_21d,price_finbert_climatebert,gradient_boosting,728,,,,,0.7819905213270142,0.7710280373831776,0.7932692307692307,0.803152377886999,0.8955944896449703,471.0,49.0,43.0,165.0,0.8767123287671232
news_weeks,classification,high_vol_21d,price_finbert_climatebert,gradient_boosting,591,,,,,0.7959697732997482,0.7783251231527094,0.8144329896907216,0.8267869221170274,0.8980627905165026,352.0,45.0,36.0,158.0,0.9166666666666666
all_weeks,classification,high_vol_21d,price_finbert_climatebert,hist_gradient_boosting,728,,,,,0.7775061124694377,0.7910447761194029,0.7644230769230769,0.7531752299970906,0.8918639053254438,478.0,42.0,49.0,159.0,0.7808219178082192
news_weeks,classification,high_vol_21d,price_finbert_climatebert,hist_gradient_boosting,591,,,,,0.7958115183246073,0.8085106382978723,0.7835051546391752,0.7808943274291806,0.8929990391856449,361.0,36.0,42.0,152.0,0.8333333333333334
all_weeks,classification,high_vol_21d,price_finbert_climatebert,logistic,728,,,,,0.7248322147651006,0.6778242677824268,0.7788461538461539,0.6990476821476264,0.8643676035502958,443.0,77.0,46.0,162.0,0.8356164383561644
news_weeks,classification,high_vol_21d,price_finbert_climatebert,logistic,591,,,,,0.7482014388489209,0.6995515695067265,0.8041237113402062,0.718139571015991,0.867459554909242,330.0,67.0,38.0,156.0,0.85
