evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,classification,high_vol_21d,price_climatebert,hist_gradient_boosting,728,,,,,0.8018648018648019,0.7782805429864253,0.8269230769230769,0.8514940521780339,0.9144323224852071,471.0,49.0,36.0,172.0,0.958904109589041
news_weeks,classification,high_vol_21d,price_climatebert,hist_gradient_boosting,591,,,,,0.8229426433915212,0.7971014492753623,0.8505154639175257,0.8733150257246977,0.9201485367057051,355.0,42.0,29.0,165.0,0.9833333333333333
all_weeks,classification,high_vol_21d,price_climatebert,logistic,728,,,,,0.7450110864745011,0.691358024691358,0.8076923076923077,0.7543806774394811,0.8915588017751479,445.0,75.0,40.0,168.0,0.863013698630137
news_weeks,classification,high_vol_21d,price_climatebert,logistic,591,,,,,0.7666666666666667,0.7123893805309734,0.8298969072164949,0.7727955934564895,0.8940767093406736,332.0,65.0,33.0,161.0,0.85
all_weeks,classification,high_vol_21d,price_climatebert,random_forest,728,,,,,0.7792792792792793,0.7330508474576272,0.8317307692307693,0.8088474279273696,0.9070451183431952,457.0,63.0,35.0,173.0,0.863013698630137
news_weeks,classification,high_vol_21d,price_climatebert,random_forest,591,,,,,0.8038740920096852,0.7579908675799086,0.8556701030927835,0.8356851208474824,0.913228076553533,344.0,53.0,28.0,166.0,0.9166666666666666
all_weeks,regression,future_vol_21d,full,gradient_boosting,728,0.006909561290440173,0.004936184034910783,0.42941479104133606,0.7768527129178626,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,gradient_boosting,591,0.007021392361595392,0.0049738084552512305,0.4083202651862563,0.7867550376384731,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,hist_gradient_boosting,728,0.006486783399868778,0.0049435813949108825,0.49710379809445726,0.7831085112722448,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,hist_gradient_boosting,591,0.006567971382011789,0.005013614945330246,0.48227073615213834,0.7844715362625976,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,random_forest,728,0.007745481678502865,0.005890907017188284,0.2830045093284441,0.7628404647356198,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,random_forest,591,0.00807509546803409,0.006221326922435153,0.21740775342611474,0.7530506846862348,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,ridge,728,0.008936959933306727,0.006717226850576332,0.045448896316272025,0.7018941287625378,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,ridge,591,0.009341877847035307,0.007107635873226248,-0.0473903742726931,0.6970955189035718,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,gradient_boosting,728,0.0064796133569249995,0.0047562688150253165,0.49821491722622224,0.774980003910073,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,gradient_boosting,591,0.006493032258754287,0.0047641250121071435,0.4940176928599477,0.7888831222849919,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,hist_gradient_boosting,728,0.00644081582839999,0.00478519544232198,0.5042059343866259,0.784055032952305,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,hist_gradient_boosting,591,0.006513790802400623,0.004813516235421424,0.49077722048268646,0.7942877192894663,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,random_forest,728,0.006451862005166392,0.004866318001085217,0.5025038751073909,0.7846284536640642,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,random_forest,591,0.006477812194684284,0.004906995483531003,0.4963870195233254,0.7954246705623286,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,ridge,728,0.007234198658493512,0.00534062183408661,0.37453872780730446,0.7202855024190803,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,ridge,591,0.007251760602978225,0.00536073703612038,0.3688579340091107,0.7478329314430148,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,gradient_boosting,728,0.006909561290440173,0.004936184034910783,0.42941479104133606,0.7768527129178626,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,gradient_boosting,591,0.007021392361595392,0.0049738084552512305,0.4083202651862563,0.7867550376384731,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,hist_gradient_boosting,728,0.006486783399868778,0.0049435813949108825,0.49710379809445726,0.7831085112722448,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,hist_gradient_boosting,591,0.006567971382011789,0.005013614945330246,0.48227073615213834,0.7844715362625976,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,random_forest,728,0.007745481678502865,0.005890907017188284,0.28300450932844423,0.7628404647356198,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,random_forest,591,0.00807509546803409,0.006221326922435153,0.21740775342611496,0.7530506846862348,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,ridge,728,0.008936959933306727,0.006717226850576332,0.045448896316272025,0.7018941287625378,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,ridge,591,0.009341877847035307,0.007107635873226248,-0.0473903742726931,0.6970955189035718,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,gradient_boosting,728,0.006424835792435137,0.004722817332280456,0.5066630698612828,0.7778169843132634,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,gradient_boosting,591,0.006430434350548401,0.004718319407458088,0.5037267946861912,0.7915412196405307,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,hist_gradient_boosting,728,0.006310938209522396,0.00472290339473247,0.523999489625905,0.7961769446564178,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,hist_gradient_boosting,591,0.006378208501710163,0.004756546924564521,0.5117551915668226,0.8041923765029965,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,random_forest,728,0.006687594527379593,0.005195729760506534,0.4654855753495343,0.7889295453868279,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,random_forest,591,0.006788519346879345,0.005360383621670662,0.44691697434745237,0.7904871166443049,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,ridge,728,0.007826013026357938,0.005913700139219652,0.26801750500074883,0.740206813185569,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,ridge,591,0.007999102183144752,0.006107502583540016,0.2320681166953913,0.7526943897351708,,,,,,,,,,
