evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,regression,future_vol_21d,climatebert,hist_gradient_boosting,728,0.00967397938056371,0.007577936065838903,-0.1184842607818597,0.14211633856232578,,,,,,,,,,
news_weeks,regression,future_vol_21d,climatebert,hist_gradient_boosting,590,0.00974292918213425,0.007365883926402279,-0.13969859207332758,0.17301299586456043,,,,,,,,,,
all_weeks,regression,future_vol_21d,climatebert,random_forest,728,0.009261306590109125,0.007558479514475865,-0.02509492953783532,0.2913241233479501,,,,,,,,,,
news_weeks,regression,future_vol_21d,climatebert,random_forest,590,0.00923891993315834,0.007345967116022809,-0.02483353222603446,0.18012786251485732,,,,,,,,,,
all_weeks,regression,future_vol_21d,climatebert,ridge,728,0.011391403284348792,0.008599231142831584,-0.5508650783571041,-0.083258676389502,,,,,,,,,,
news_weeks,regression,future_vol_21d,climatebert,ridge,590,0.011718922273641215,0.008508266643887482,-0.6488694353559985,-0.088437173118635,,,,,,,,,,
all_weeks,regression,future_vol_21d,finbert,gradient_boosting,728,0.010996433625188104,0.008489656040251791,-0.4451844389964328,-0.007672875060406032,,,,,,,,,,
news_weeks,regression,future_vol_21d,finbert,gradient_boosting,590,0.011341266077259075,0.008489226904306745,-0.5443082771811654,-0.09179212301515222,,,,,,,,,,
all_weeks,regression,future_vol_21d,finbert,hist_gradient_boosting,728,0.010557267916210141,0.0083417113242693,-0.3320565067267014,-0.0895088388315157,,,,,,,,,,
news_weeks,regression,future_vol_21d,finbert,hist_gradient_boosting,590,0.010815500431633046,0.008308336735528206,-0.4044431301002256,-0.07454784560850383,,,,,,,,,,
all_weeks,regression,future_vol_21d,finbert,random_forest,728,0.010113828081666398,0.008154314981425442,-0.22250514763765628,0.0702190602456881,,,,,,,,,,
news_weeks,regression,future_vol_21d,finbert,random_forest,590,0.010282868149557851,0.00808108804733012,-0.26951972905828425,-0.058239101179135624,,,,,,,,,,
all_weeks,regression,future_vol_21d,finbert,ridge,728,0.010256620123895777,0.007987691394983372,-0.2572687002451213,-0.08573935903195316,,,,,,,,,,
news_weeks,regression,future_vol_21d,finbert,ridge,590,0.010419336855178542,0.007834320126813074,-0.30344010034884183,-0.08494669911993184,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,gradient_boosting,728,0.00896928550437366,0.0061366731427303055,0.03853105969177684,0.7000670558560366,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,gradient_boosting,590,0.009441070266254332,0.006482729984149027,-0.07017149749372886,0.6734489862899754,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,hist_gradient_boosting,728,0.008019703065428072,0.006042585228260676,0.2313367117123275,0.7055145849276981,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,hist_gradient_boosting,590,0.008443753755934534,0.006466156159453906,0.14398369064362782,0.6669000212826655,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,random_forest,728,0.008414990014320568,0.006191653266590416,0.1536952619977573,0.7336114533883142,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,random_forest,590,0.008880619382252531,0.006599184702983007,0.053114570293979035,0.7133130011085391,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,ridge,728,0.009684283589839665,0.007187682010721844,-0.12086822986045487,0.5576633673072615,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,ridge,590,0.010209169214358105,0.0076804828538007755,-0.2513872463319642,0.5488070240684013,,,,,,,,,,
all_weeks,regression,future_vol_21d,keyword,gradient_boosting,728,0.012230432983548662,0.009691384618911395,-0.7877353461985956,0.36544995084396903,,,,,,,,,,
news_weeks,regression,future_vol_21d,keyword,gradient_boosting,590,0.012828070261781066,0.010006137999042241,-0.975757230951376,0.2253937110526856,,,,,,,,,,
all_weeks,regression,future_vol_21d,keyword,hist_gradient_boosting,728,0.010423268409528773,0.00838856083692963,-0.2984565012838274,0.129402000919176,,,,,,,,,,
news_weeks,regression,future_vol_21d,keyword,hist_gradient_boosting,590,0.010690558306425998,0.008412688266643053,-0.37218192125907557,0.053522792390884706,,,,,,,,,,
all_weeks,regression,future_vol_21d,keyword,random_forest,728,0.01012253570822789,0.008534869958228301,-0.2246111159679245,0.30930705282055626,,,,,,,,,,
news_weeks,regression,future_vol_21d,keyword,random_forest,590,0.010323072124638379,0.008592621085807549,-0.2794662763517075,0.11547401696215293,,,,,,,,,,
all_weeks,regression,future_vol_21d,keyword,ridge,728,0.011841593480075319,0.009553501062903445,-0.6758681909025406,0.28110975211434225,,,,,,,,,,
news_weeks,regression,future_vol_21d,keyword,ridge,590,0.012389184495043594,0.009860225327724462,-0.8428770463646726,0.15806365430524072,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,gradient_boosting,728,0.007438184831590655,0.005124931431421438,0.33876856125289834,0.7445894717827811,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,gradient_boosting,590,0.00755190164587729,0.0051650406634752705,0.31526335519351634,0.7626984329746088,,,,,,,,,,
