evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,regression,future_vol_21d,price_all_news,ridge,728,0.008942855156157824,0.006805467291137342,0.04418915082587471,0.6992826205725488,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,ridge,590,0.009357845310858226,0.007227114071877809,-0.051387099177586215,0.6872610903940681,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,gradient_boosting,728,0.006509050366218666,0.0047720456441704955,0.49364532212296997,0.777507662868075,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,gradient_boosting,590,0.0065403364319279655,0.004779014750937554,0.4864164584820727,0.7887839840498391,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,hist_gradient_boosting,728,0.006496007464217341,0.00484212678453721,0.49567256639168844,0.7875688521002617,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,hist_gradient_boosting,590,0.00659360625988728,0.004906170122091001,0.4780163028726039,0.7906285667579013,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,random_forest,728,0.006729433653595981,0.005239434085629019,0.45877656440569303,0.7872252817232185,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,random_forest,590,0.006843628715845443,0.005405806519516466,0.43767965083395766,0.7891754055355672,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_climatebert,ridge,728,0.007623800307077002,0.005765048359062169,0.30535552365966967,0.7398944249777201,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_climatebert,ridge,590,0.007761228598135841,0.005933997770505255,0.27677759700715254,0.7517906580346005,,,,,,,,,,
